src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.178.1,192.168.178.255,138,138,17,2024-11-22 15:43:43,120.20003294944763,6.289515746788106,0.02495839582058772,0.02495839582058772,0.0,3,0,756,0,252,252,252.0,0.0,0,0,0,0.0,252,252,252.0,0.0,0.0,24,0,8,3,60.100016474723816,60.10003399848938,60.09999895095825,1.7523765563964844e-05,120.20003294944763,60.10003399848938,60.09999895095825,60.100016474723816,1.7523765563964844e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,252.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252.0,0,0,3,0,756,0
192.168.178.65,198.16.68.114,33702,443,6,2024-11-22 15:43:46,115.38568782806396,107.14500413969961,0.34666344459985315,0.19066489452991922,0.1559985500699339,22,18,4147,8216,1514,66,188.5,331.6993093423347,5039,66,456.44444444444446,1183.3416535962056,5039,66,309.075,841.6747408441103,708416.3693750001,440,360,20,5,2.9586073802067685,10.221158266067505,3.5762786865234375e-06,4.563036299999912,115.38188529014587,10.240993976593018,3.5762786865234375e-06,5.494375490006947,4.994270962989717,115.36253786087036,10.245828628540039,0.003828287124633789,6.786031638874727,4.698528820699342,4,3,0,0,2,2,0,7,39,0,0,0.8181818181818182,309.075,64240,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.5,456.44444444444446,0,22,18,4147,8216
192.168.178.76,224.0.0.251,5353,5353,17,2024-11-22 15:43:54,120.05650544166565,16.683810615937336,0.158258812632456,0.158258812632456,0.0,19,0,2003,0,283,75,105.42105263157895,61.48711100665405,0,0,0,0.0,283,75,105.42105263157895,61.48711100665405,3780.6648199445976,152,0,8,19,6.669805857870314,60.02244234085083,0.00042366981506347656,18.862345477570535,120.05650544166565,60.02244234085083,0.00042366981506347656,6.669805857870314,18.862345477570535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,105.42105263157895,0,0,0,0,0,0,0,0,0,0,581.0,9.0,0,0,75677.48281109282,0,105.42105263157895,0,0,19,0,2003,0
192.168.178.56,224.0.0.251,5353,5353,17,2024-11-22 15:43:54,120.056715965271,2.2239488882674046,0.024988189755813534,0.024988189755813534,0.0,3,0,267,0,89,89,89.0,0.0,0,0,0,0.0,89,89,89.0,0.0,0.0,24,0,8,3,60.0283579826355,60.03075671195984,60.02595925331116,0.0023987293243408203,120.056715965271,60.03075671195984,60.02595925331116,60.0283579826355,0.0023987293243408203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0,0,0,3,0,267,0
192.168.178.58,224.0.0.251,5353,5353,17,2024-11-22 15:43:54,120.05643701553345,2.8736484987919666,0.02498824781558232,0.02498824781558232,0.0,3,0,345,0,115,115,115.0,0.0,0,0,0,0.0,115,115,115.0,0.0,0.0,24,0,8,3,60.028218507766724,60.03064441680908,60.025792598724365,0.0024259090423583984,120.05643701553345,60.03064441680908,60.025792598724365,60.028218507766724,0.0024259090423583984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.0,0,0,3,0,345,0
192.168.178.22,224.0.0.251,5353,5353,17,2024-11-22 15:43:54,120.01438760757446,2.474703291168195,0.02499700294109288,0.02499700294109288,0.0,3,0,297,0,99,99,99.0,0.0,0,0,0,0.0,99,99,99.0,0.0,0.0,24,0,8,3,60.00719380378723,60.007458209991455,60.00692939758301,0.0002644062042236328,120.01438760757446,60.007458209991455,60.00692939758301,60.00719380378723,0.0002644062042236328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.0,0,0,3,0,297,0
192.168.178.90,224.0.0.251,5353,5353,17,2024-11-22 15:43:54,120.01251554489136,2.349754929472471,0.02499739286672841,0.02499739286672841,0.0,3,0,282,0,94,94,94.0,0.0,0,0,0,0.0,94,94,94.0,0.0,0.0,24,0,8,3,60.00625777244568,60.00648856163025,60.00602698326111,0.0002307891845703125,120.01251554489136,60.00648856163025,60.00602698326111,60.00625777244568,0.0002307891845703125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,94.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.0,0,0,3,0,282,0
192.168.178.175,224.0.0.251,5353,5353,17,2024-11-22 15:43:54,120.02358055114746,2.274553039880879,0.02499508835033933,0.02499508835033933,0.0,3,0,273,0,91,91,91.0,0.0,0,0,0,0.0,91,91,91.0,0.0,0.0,24,0,8,3,60.01179027557373,60.07879638671875,59.94478416442871,0.06700611114501953,120.02358055114746,60.07879638671875,59.94478416442871,60.01179027557373,0.06700611114501953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,91.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.0,0,0,3,0,273,0
192.168.178.65,140.82.112.26,60670,443,6,2024-11-22 15:43:55,120.31280493736267,78.44551546207919,0.1994800138895847,0.10805167419019171,0.09142833969939299,13,11,4385,5053,1490,66,337.3076923076923,469.36477279492163,2914,66,459.3636363636364,805.7761106510095,2914,66,393.25,648.5475599368176,420613.9375,260,220,20,6,5.2309915190157685,59.85881757736206,2.384185791015625e-07,16.857927968527477,60.313780546188354,59.858859062194824,1.9073486328125e-06,5.0261483788490295,16.53276685542411,120.2094292640686,59.89953064918518,2.384185791015625e-07,12.02094292640686,23.928127666179222,5,8,0,0,0,2,0,13,23,0,0,0.8461538461538461,393.25,64240,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337.3076923076923,459.3636363636364,0,13,11,4385,5053
155.133.250.4,192.168.178.65,27018,39123,6,2024-11-22 15:44:45,94.64468693733215,146.09377924357636,0.4120675049178765,0.21131666918865463,0.2007508357292219,20,19,6390,7437,1070,66,319.5,383.4778350830723,864,66,391.42105263157896,364.98656295230114,1070,66,354.53846153846155,376.3043535084706,141604.96646942804,400,380,20,7,2.490649656245583,18.00988745689392,1.8358230590820312e-05,5.039977718266124,94.64468693733215,18.02289128303528,0.07982587814331055,4.981299312491166,6.208641346344942,94.38734197616577,18.022130489349365,0.06753706932067871,5.243741220898098,6.270428141483925,7,12,0,0,0,0,0,19,39,0,0,0.95,354.53846153846155,19015,33413,12.898152112960815,3.99354887008667,9.651527722676596,4.0153009422634325,14.537894010543823,7.9516682624816895,10.713314175605774,2.6337585861627204,0,0,0,0,0,0,319.5,391.42105263157896,0,20,19,6390,7437
192.168.178.65,77.22.119.50,47874,443,6,2024-11-22 15:44:23,123.99746322631836,122.8412227450071,0.24194043345261376,0.12903489784139402,0.11290553561121976,16,14,6307,8925,1048,66,394.1875,424.8832514276716,1514,66,637.5,597.6411668264782,1514,66,507.73333333333335,526.9691915936727,277696.5288888889,320,280,20,7,4.2757745940109775,37.914159536361694,4.5299530029296875e-06,10.881772421710444,123.99746322631836,37.914159536361694,3.695487976074219e-05,8.266497548421224,13.997949271353297,86.08044862747192,35.950902223587036,4.315376281738281e-05,6.621572971343994,12.277743972731889,7,7,0,0,0,2,0,14,29,0,0,0.875,507.73333333333335,64240,501,0,0,0,0,25.83965826034546,10.108217716217041,16.685645977656048,6.675759348183248,0,0,0,0,0,0,394.1875,637.5,0,16,14,6307,8925
192.168.178.65,152.199.19.160,33918,443,6,2024-11-22 15:44:55,91.9678373336792,634.8088820244569,0.41318792636308044,0.20659396318154022,0.20659396318154022,19,19,4673,53709,1514,66,245.94736842105263,378.814421123285,7306,66,2826.7894736842104,2672.289430017627,7306,66,1536.3684210526317,2303.8016569991964,5307502.074792244,380,380,20,7,2.4856172252345727,46.72877788543701,0.0,10.375060016895217,91.9678373336792,46.783313035964966,5.9604644775390625e-06,5.109324296315511,14.431504738017429,46.90855360031128,46.754101037979126,0.0,2.606030755572849,10.707491236459038,6,15,0,0,0,2,0,21,37,0,0,1.0,1536.3684210526317,64240,148,0,0,0,0,0,0,0,0,0,0,45250.0,9.0,0,142700944.36090225,245.94736842105263,2826.7894736842104,0,19,19,4673,53709
192.168.178.65,51.104.15.253,33348,443,6,2024-11-22 15:44:47,102.57059979438782,216.47528672455806,0.6142110909587083,0.37047653105445894,0.2437345599042493,38,25,19868,2336,1494,66,522.8421052631579,595.4362189678469,165,66,93.44,38.46981154099926,1494,66,352.44444444444446,508.5008709947989,258573.13580246913,760,500,20,28,1.6543645128127067,33.30386257171631,4.76837158203125e-07,6.664808939005566,102.50473093986511,33.37037444114685,4.76837158203125e-07,2.7703981335098677,8.476099057434107,102.54046034812927,33.36022448539734,7.605552673339844e-05,4.272519181172053,10.19230654564523,22,10,0,0,0,0,0,32,63,0,0,0.6578947368421053,352.44444444444446,624,16386,0,0,0,0,31.882323741912842,23.3180730342865,27.60019838809967,4.282125353813171,3742.5,5.0,0,0,55174631.704745166,0,522.8421052631579,93.44,0,38,25,19868,2336
192.168.178.1,239.255.255.250,1900,1900,17,2024-11-22 15:44:12,140.03868198394775,67.18143777644532,0.17138121881746254,0.17138121881746254,0.0,24,0,9408,0,450,358,392.0,26.765960970356858,0,0,0,0.0,450,358,392.0,26.765960970356858,716.4166666666666,192,0,8,24,6.088638347128163,119.72161149978638,4.673004150390625e-05,24.433201317271127,140.03868198394775,119.72161149978638,4.673004150390625e-05,6.088638347128163,24.433201317271127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,392.0,0,0,0,0,0,0,117.33453154563904,15.428281545639038,66.38140654563904,50.953125,2020.75,5.75,0,0,1078737.4071528574,0,392.0,0,0,24,0,9408,0
